lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,0.5054507851600647,5054.50732421875,0.5054507851600647,-1.0,-1.0,-1.0,nan,0.0,0.012345679104328156,0.0,0.0,0.0,0.012345679104328156,0.6782037019729614,0.5054507851600647,0.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.9198849201202393,9198.8486328125,0.9198849201202393,-1.0,-1.0,-1.0,nan,0.0,0.012345679104328156,0.0,0.0,0.0,0.012345679104328156
0.01,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,0.12625795602798462,1262.5797119140625,0.12625795602798462,-1.0,-1.0,-1.0,nan,0.0,0.02469135820865631,0.0,0.0,0.0,0.02469135820865631,0.29184168577194214,0.12625795602798462,1.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.33180442452430725,3318.044189453125,0.33180442452430725,-1.0,-1.0,-1.0,nan,0.0,0.02469135820865631,0.0,0.0,0.0,0.02469135820865631
0.01,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0.09685888886451721,968.5888061523438,0.09685888886451721,-0.559773862361908,-0.37505269050598145,-0.49472570419311523,nan,0.0,0.03703703731298447,0.0,0.0,0.0,0.03703703731298447,0.15535372495651245,0.09685888886451721,2.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.11189788579940796,1118.9788818359375,0.11189788579940796,-0.9511362910270691,-0.8868944644927979,-0.9101622104644775,nan,0.0,0.03703703731298447,0.0,0.0,0.0,0.03703703731298447
0.01,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,0.09447132796049118,944.7133178710938,0.09447132796049118,-0.3855297863483429,-0.20890437066555023,-0.32445019483566284,nan,0.0,0.04938271641731262,0.0,0.0,0.0,0.04938271641731262,0.1127360463142395,0.09447132796049118,3.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,3,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0956297293305397,956.2973022460938,0.0956297293305397,-0.4292764663696289,-0.2740701138973236,-0.3957885801792145,nan,0.0,0.04938271641731262,0.0,0.0,0.0,0.04938271641731262
0.01,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,0.0933033898472786,933.033935546875,0.0933033898472786,-0.29850104451179504,-0.11210057884454727,-0.25728681683540344,nan,0.0,0.06172839179635048,0.0,0.0,0.0,0.06172839179635048,0.09913318604230881,0.0933033898472786,4.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,4,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.09417112916707993,941.7112426757812,0.09417112916707993,-0.38430169224739075,-0.1763366311788559,-0.3203149735927582,nan,0.0,0.061728399246931076,0.0,0.0,0.0,0.061728399246931076
0.01,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,0.09121772646903992,912.17724609375,0.09121772646903992,-0.12464556097984314,-0.03769918158650398,-0.10491173714399338,nan,0.0,0.07407407462596893,0.0,0.0,0.0,0.07407407462596893,0.09359236061573029,0.09121772646903992,5.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,5,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.09271831065416336,927.18310546875,0.09271831065416336,-0.23553262650966644,-0.1183532178401947,-0.19767503440380096,nan,0.0,0.07407407462596893,0.0,0.0,0.0,0.07407407462596893
0.01,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,0.09079153090715408,907.915283203125,0.09079153090715408,-0.0873510017991066,-0.006294925231486559,-0.09073370695114136,nan,0.0,0.08641975373029709,0.0,0.0,0.0,0.08641975373029709,0.09163177758455276,0.09079153090715408,6.0,0.009999999776482582,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,6,,,,,,,,,,,,,
